title,chart_week,performer,peak_pos,wks_on_chart,album_name,release_date,popularity,explicit,listeners,play_count,duration_s,genre
What I Want,2025-06-28,Morgan Wallen,1,5,10 MINUTES,2025-05-23,3,True,747,4557,160.0,country
Just In Case,2025-06-28,Morgan Wallen,2,13,Just In Case,2025-03-21,85,False,65582,489525,166.206,country
Luther,2025-06-28,Kendrick Lamar,1,30,GNX,2024-11-21,92,False,375458,1108166,177.598,hip hop
I'm The Problem,2025-06-28,Morgan Wallen,2,20,I'm The Problem,2025-01-31,82,False,84716,620843,177.811,country
Die With A Smile,2025-06-28,Lady Gaga,1,44,Die With A Smile,2024-08-16,98,False,1412509,23765285,251.667,art pop
Nokia,2025-06-28,Drake,2,18,$ome $exy $ongs 4 U,2025-02-14,93,True,504427,5799511,241.023,rap
Love Me Not,2025-06-28,Ravyn Lenae,17,12,Love Me Not / Love Is Blind,2024-05-03,90,False,652150,7893941,213.466,alternative r&b
All The Way,2025-06-28,BigXthaPlug,4,11,Double Brutal,2009-09-29,22,False,6346,11447,192.093,southern hip hop
Worst Way,2025-06-28,Riley Green,20,23,Way Out Here,2024-04-12,86,False,57109,418307,220.558,country
Love Somebody,2025-06-28,Morgan Wallen,1,35,Love Somebody,2024-10-18,85,False,137144,1074253,204.828,country
Weren't For The Wind,2025-06-28,Ella Langley,23,20,weren't for the wind,2024-10-04,79,False,40764,322503,193.666,country
30 For 30,2025-06-28,SZA,10,26,SOS Deluxe: LANA,2024-12-20,85,True,3793,19677,278.277,r&b
APT.,2025-06-28,ROSE,3,35,APT.,2024-10-18,94,False,1412,6806,169.917,k-pop
I Got Better,2025-06-28,Morgan Wallen,7,5,I’m The Problem,2025-05-16,89,False,41289,269088,204.963,country
20 Cigarettes,2025-06-28,Morgan Wallen,20,5,I’m The Problem,2025-05-16,87,False,30470,221995,160.901,country
Burning Blue,2025-06-28,Mariah The Scientist,25,7,Burning Blue,2025-05-02,82,False,50762,413909,205.724,alternative r&b
Dark Thoughts,2025-06-28,Lil Tecca,28,14,Dark Thoughts,2025-03-14,90,True,374604,4685531,136.991,melodic rap
Killin' It Girl,2025-06-28,j-hope,40,1,Killin' It Girl (feat. GloRilla),2025-06-13,89,True,348,26731,148.714,k-pop
Superman,2025-06-28,Morgan Wallen,8,6,I’m The Problem,2025-05-16,85,False,38827,212315,188.2,country
Abracadabra,2025-06-28,Lady Gaga,13,20,Abracadabra,2025-02-03,91,False,856472,17147720,223.398,art pop
TV Off,2025-06-28,Kendrick Lamar,2,30,Super Bowl LIX Halftime Show (Live),2025-02-09,66,True,319416,950621,800.699,hip hop
Backup Plan,2025-06-28,Bailey Zimmerman,36,7,Backup Plan (feat. Luke Combs),2025-05-02,83,False,351,1028,181.518,country
No One Noticed,2025-06-28,The Marias,22,38,Submarine,2024-05-31,93,False,501,3637,236.906,bedroom pop
Shake It To The Max (Fly),2025-06-28,MOLIY,47,5,Shake It To The Max (FLY) (Remix),2025-02-21,94,True,23130,91322,178.775,alté
Squabble Up,2025-06-28,Kendrick Lamar,1,30,GNX,2024-11-22,87,True,987128,11017438,157.992,hip hop
Happen To Me,2025-06-28,Russell Dickerson,49,9,Happen To Me,2025-02-21,80,False,14036,82048,183.615,country
OWA OWA,2025-06-28,Lil Tecca,50,3,OWA OWA,2025-05-30,87,True,190269,1335827,132.38,melodic rap
Hard Fought Hallelujah,2025-06-28,Brandon Lake X Jelly Roll,40,18,Weapons of Mass Destruction (Clean),2004-12-14,9,False,1,1,259.88,christian
After All The Bars Are Closed,2025-06-28,Thomas Rhett,53,8,About A Woman,2024-08-23,74,False,22524,98448,191.839,country
Somebody Loves Me,2025-06-28,PARTYNEXTDOOR,30,18,$ome $exy $ongs 4 U,2025-02-14,83,True,156825,1197448,182.767,dark r&b
Azizam,2025-06-28,Ed Sheeran,28,11,Azizam,2025-04-04,93,False,154071,759935,162.029,soft pop
TN,2025-06-28,Morgan Wallen,31,5,I’m The Problem,2025-05-16,84,False,25514,197211,185.138,country
Backseat Driver,2025-06-28,Kane Brown,60,15,Backseat Driver,2024-10-11,73,False,13184,53097,228.066,country
Indigo,2025-06-28,Sam Barber,40,28,Restless Mind,2024-11-01,88,False,3628,27416,286.634,country
Party 4 U,2025-06-28,Charli xcx,55,9,how i'm feeling now,2020-05-15,93,False,804975,11237528,296.653,hyperpop
Your Way's Better,2025-06-28,Forrest Frank,61,9,CHILD OF GOD (DELUXE),2024-11-01,79,False,19939,150553,198.082,christian pop
Dark Til Daylight,2025-06-28,Morgan Wallen,49,5,I’m The Problem,2025-05-16,83,False,20877,142256,235.566,country
I'm A Little Crazy,2025-06-28,Morgan Wallen,17,13,I'm A Little Crazy,2025-03-21,78,False,36716,217109,199.06,country
Lemon Drop,2025-06-28,ATEEZ,69,1,GOLDEN HOUR : Part.3,2025-06-13,80,False,57336,758183,179.395,k-pop
Won't Stop,2025-06-28,Gunna,70,1,Won't Stop,2025-06-13,80,True,42976,119442,181.533,melodic rap
Marlboro Rojo,2025-06-28,Fuerza Regida,71,6,111XPANTIA,2025-05-02,92,True,29734,210468,184.173,corrido
Tu Sancho,2025-06-28,Fuerza Regida,73,3,111XPANTIA,2025-05-02,93,True,32217,237754,177.994,corrido
Rather Lie,2025-06-28,Playboi Carti,4,14,MUSIC,2025-03-14,87,True,295836,913295,209.68,rage rap
House Again,2025-06-28,Hudson Westbrook,72,9,House Again,2024-10-18,83,False,30693,242240,203.822,country
Fix What You Didn't Break,2025-06-28,Nate Smith,64,12,Fix What You Didn't Break,2024-08-23,71,False,19232,109791,201.555,country
Half The Plot,2025-06-28,Lil Tecca,78,1,DOPAMINE,2025-06-13,80,True,96533,348638,165.937,melodic rap
Eyes Are Closed,2025-06-28,Morgan Wallen,22,5,I’m The Problem,2025-05-16,83,True,23681,127607,197.188,country
Me Jalo,2025-06-28,Fuerza Regida,48,18,MALA MÍA,2024-12-19,91,True,92587,1091832,212.002,corrido
EOO,2025-06-28,Bad Bunny,24,22,DeBÍ TiRAR MáS FOToS,2025-01-05,94,True,320634,3606763,204.768,reggaeton
Thought It Was Love,2025-06-28,Ty Myers,79,5,The Select,2025-01-24,82,False,32905,328081,246.141,country
Sapphire,2025-06-28,Ed Sheeran,74,2,Sapphire,2025-06-05,91,False,59464,270783,179.082,soft pop
Where'd That Girl Go,2025-06-28,Morgan Wallen,32,5,I’m The Problem,2025-05-16,82,False,21299,117991,151.228,country
Kick Myself,2025-06-28,Morgan Wallen,21,5,I’m The Problem,2025-05-16,82,True,22219,145387,159.297,country
Kiss Her In Front Of You,2025-06-28,Morgan Wallen,34,5,I’m The Problem,2025-05-16,82,False,18256,110721,178.227,country
Twilight Zone,2025-06-28,Ariana Grande,18,11,twilight zone,2025-06-20,66,False,397418,5786397,198.32,pop
Holy Blindfold,2025-06-28,Chris Brown,89,1,Holy Blindfold,2025-06-13,80,False,16338,65607,170.4,r&b
Hip-Hop,2025-06-28,Lil Wayne,36,2,The Renaissance,2008-11-04,38,False,309,669,281.04,rap
Por Esos Ojos,2025-06-28,Fuerza Regida,64,13,Por Esos Ojos,2025-02-11,85,True,48959,501217,188.064,corrido
If You Were Mine,2025-06-28,Morgan Wallen,41,5,I’m The Problem,2025-05-16,82,True,17282,100320,167.231,country
Single Again,2025-06-28,Josh Ross,97,1,Complicated,2024-03-29,69,False,19421,102479,179.05,country
Gnarly,2025-06-28,KATSEYE,90,3,Gnarly,2025-04-30,91,True,406737,7084941,137.316,k-pop
Falling Apart,2025-06-28,Morgan Wallen,25,5,I’m The Problem,2025-05-16,82,False,23134,115533,198.919,country
Am I Okay?,2025-06-21,Megan Moroney,34,40,Am I Okay?,2024-07-12,82,False,60114,581751,235.002,country
Sharks,2025-06-21,Lil Wayne,54,1,Tha Carter VI,2025-06-06,75,True,382,738,229.759,rap
Banned From NO,2025-06-21,Lil Wayne,61,1,Tha Carter VI (Bonus),2025-06-11,67,True,30051,60883,203.981,rap
Welcome To Tha Carter,2025-06-21,Lil Wayne,62,1,Tha Carter VI,2025-06-06,74,True,49849,105400,215.425,rap
Bells,2025-06-21,Lil Wayne,65,1,Tha Carter VI,2025-06-06,74,True,175,258,204.493,rap
Cotton Candy,2025-06-21,Lil Wayne,93,1,Tha Carter VI,2025-06-06,71,True,276,547,206.533,rap
Type Dangerous,2025-06-21,Mariah Carey,95,1,Type Dangerous,2025-06-06,73,False,42663,380202,175.788,christmas
Missing,2025-06-21,Morgan Wallen,42,4,I’m The Problem,2025-05-16,81,False,19806,109878,182.512,country
King Carter,2025-06-21,Lil Wayne,97,1,Tha Carter VI,2025-06-06,69,False,196,301,108.074,rap
Don't We,2025-06-14,Morgan Wallen,48,3,I’m The Problem,2025-05-16,81,False,17269,105595,191.441,country
Genesis,2025-06-14,Morgan Wallen,46,3,I’m The Problem,2025-05-16,81,False,18954,113882,195.488,country
Jack And Jill,2025-06-14,Morgan Wallen,60,3,I’m The Problem,2025-05-16,80,False,15072,88813,220.159,country
Miami,2025-06-14,Morgan Wallen,65,3,I’m The Problem,2025-05-16,80,True,13643,77522,205.256,country
Whiskey Drink,2025-06-14,Jason Aldean,77,8,Highway Desperado,2023-11-03,68,False,7666,39293,190.4,country
Latina Foreva,2025-06-14,Karol G,74,2,LATINA FOREVA,2025-05-22,89,True,58459,368719,159.452,reggaeton
Revelation,2025-06-14,Morgan Wallen,54,3,I’m The Problem,2025-05-16,80,False,17394,85053,209.519,country
The Largest,2025-06-14,BigXthaPlug,71,19,TAKE CARE,2024-10-11,80,True,168720,1041020,132.16,southern hip hop
Number 3 And Number 7,2025-06-14,Morgan Wallen,52,3,The Mighty Death Pop,2012-08-14,22,True,114,385,3614.013,country
Interlude,2025-06-14,Morgan Wallen,51,3,I’m The Problem,2025-05-16,80,True,21359,96290,44.0,country
Somewhere Over Laredo,2025-06-07,Lainey Wilson,88,1,Somewhere Over Laredo,2025-05-23,75,False,6808,18004,226.0,country
Leavin's The Least I Could Do,2025-06-07,Morgan Wallen,70,2,I’m The Problem,2025-05-16,79,False,15821,81194,187.545,country
Come Back As A Redneck,2025-06-07,Morgan Wallen,63,2,People's Champ,2022-02-04,49,True,114,507,193.273,country
The Dealer,2025-06-07,Morgan Wallen,69,2,Backseat,2024-04-03,51,True,93,329,204.831,country
Drinking Til It Does,2025-06-07,Morgan Wallen,72,2,I’m The Problem,2025-05-16,79,False,14256,80274,190.973,country
LA Night,2025-06-07,Morgan Wallen,79,2,I’m The Problem,2025-05-16,79,False,13333,80112,169.15,country
Smile,2025-05-31,Morgan Wallen,4,21,Smile,2024-12-31,77,False,61484,374129,224.127,country
DTMF,2025-05-31,Bad Bunny,2,20,DeBÍ TiRAR MáS FOToS,2025-01-05,97,True,578238,6498902,237.117,reggaeton
Nothin' Left,2025-05-31,Morgan Wallen,73,1,I’m The Problem,2025-05-16,78,False,14397,67778,162.814,country
Whiskey In Reverse,2025-05-31,Morgan Wallen,83,1,I’m The Problem,2025-05-16,78,False,13406,68286,237.69,country
Working Man's Song,2025-05-31,Morgan Wallen,84,1,I’m The Problem,2025-05-16,78,False,12731,56920,256.659,country
Crazy Eyes,2025-05-31,Morgan Wallen,88,1,I’m The Problem,2025-05-16,78,False,12722,58789,198.28,country
Don't Say You Love Me,2025-05-31,Jin,90,1,Echo,2025-05-16,93,False,3344,142524,180.716,k-pop
Shake It To The Max (FLY),2025-05-31,MOLIY,91,1,Shake It To The Max (FLY) (Remix),2025-02-21,94,True,23130,91322,178.775,alté
Baile Inolvidable,2025-05-31,Bad Bunny,3,20,DeBÍ TiRAR MáS FOToS,2025-01-05,95,True,412276,4874630,367.725,reggaeton
Not Like Us,2025-05-24,Kendrick Lamar,1,53,Not Like Us,2024-05-04,93,True,1635560,24441132,274.192,hip hop
I Never Lie,2025-05-24,Zach Top,24,34,Cold Beer & Country Music,2024-04-05,86,False,62064,616236,224.906,country
Dangerous,2025-05-24,Sleep Token,56,1,Even In Arcadia,2025-05-09,83,False,96760,1247431,251.373,progressive metal
Caramel,2025-05-24,Sleep Token,34,5,Even In Arcadia,2025-05-09,83,False,157288,3022481,290.11,progressive metal
Emergence,2025-05-24,Sleep Token,57,4,Even In Arcadia,2025-05-09,82,False,158916,3197248,386.253,progressive metal
Even In Arcadia,2025-05-24,Sleep Token,61,1,Even In Arcadia,2025-05-09,82,False,98415,1079231,268.369,progressive metal
Look To Windward,2025-05-24,Sleep Token,66,1,Even In Arcadia,2025-05-09,82,False,96975,1148643,466.463,progressive metal
Past Self,2025-05-24,Sleep Token,70,1,Even In Arcadia,2025-05-09,82,True,91279,1053248,214.648,progressive metal
Damocles,2025-05-24,Sleep Token,47,2,Even In Arcadia,2025-05-09,81,False,104917,1902634,264.836,progressive metal
Gethsemane,2025-05-24,Sleep Token,75,1,Even In Arcadia,2025-05-09,82,False,80826,1215160,383.4,progressive metal
Provider,2025-05-24,Sleep Token,77,1,Even In Arcadia,2025-05-09,81,False,80798,973358,365.904,progressive metal
You Had To Be There,2025-05-24,Megan Moroney,86,1,You Had To Be There (feat. Kenny Chesney),2025-05-09,78,False,168,1680,220.157,country
Hands Of Time,2025-05-24,Eric Church,70,3,Hands Of Time,2025-03-20,70,False,6706,22885,212.986,country
Texas,2025-05-24,Blake Shelton,61,9,Texas,2024-11-15,74,False,14278,86971,170.106,country
Loco,2025-05-24,Neton Vega,43,20,Loco,2024-12-20,83,False,106483,1160199,186.521,corrido
Money On Money,2025-05-24,Young Thug,39,3,Kamikaze,2004-01-27,31,True,448,1157,248.533,rap
Infinite Baths,2025-05-24,Sleep Token,100,1,Even In Arcadia,2025-05-09,79,False,70503,795801,503.258,progressive metal
Residuals,2025-05-17,Chris Brown,40,35,11:11 (Deluxe),2024-04-10,77,False,65269,713326,215.178,r&b
Priceless,2025-05-17,Maroon 5,76,1,Priceless (feat. LISA),2025-05-02,85,False,2402,4544,163.352,pop
Old Phone,2025-05-17,Ed Sheeran,89,1,Old Phone,2025-05-01,84,False,63788,218806,221.831,soft pop
My World,2025-05-17,Chuckyy,79,2,My World,2025-04-24,74,True,21994,182486,157.979,chicago drill
Morena,2025-05-17,Neton Vega,83,6,Mi Vida Mi Muerte,2025-02-14,92,False,53549,501243,193.728,corrido
Holy Smokes,2025-05-17,Bailey Zimmerman,54,16,Holy Smokes,2024-02-23,79,False,43527,344273,195.157,country
Me Prometi,2025-05-17,Ivan Cornejo,95,1,Me Prometí,2025-05-01,81,False,1,3,171.788,sad sierreño
BMF,2025-05-17,SZA,29,20,SOS Deluxe: LANA,2024-12-20,86,True,553272,5446315,180.746,r&b
Die Trying,2025-05-17,PARTYNEXTDOOR,21,12,$ome $exy $ongs 4 U,2025-02-14,87,True,267243,3353863,195.431,dark r&b
Friends Like That,2025-05-10,John Morgan,57,6,I Won't Back Down (Live From Saturday Night Live),2017-10-20,41,False,9349,44934,232.006,country
Somethin' 'Bout A Woman,2025-05-10,Thomas Rhett,65,6,My Favorite Picture Of You,2013-07-23,15,False,15529,50596,250.08,country
Gimme A Hug,2025-05-10,Drake,6,11,$ome $exy $ongs 4 U,2025-02-14,79,True,199943,1502226,193.054,rap
Forever To Me,2025-05-03,Cole Swindell,91,1,Forever To Me,2024-04-12,67,False,9180,41908,179.813,country
Nuevayol,2025-05-03,Bad Bunny,8,16,DeBÍ TiRAR MáS FOToS,2025-01-05,93,False,448464,4598860,183.685,reggaeton
Tattoo,2025-05-03,Tito Double P,72,8,TATTOO,2025-02-27,90,True,33590,304572,167.955,corrido
like JENNIE,2025-05-03,JENNIE,83,3,Ruby,2025-03-07,94,True,472955,9446490,123.517,k-pop
Evil J0rdan,2025-04-26,Playboi Carti,2,5,MUSIC,2025-03-14,85,True,567766,6034959,183.928,rage rap
Que Pasaria...,2025-04-26,Rauw Alejandro,34,20,Cosa Nuestra,2024-11-15,91,True,1,2,191.018,reggaeton
Little Things,2025-04-26,Ella Mai,81,7,3,2024-11-03,75,False,45371,206803,172.924,r&b
Dandelion,2025-04-26,Ariana Grande,38,3,eternal sunshine deluxe: brighter days ahead,2025-03-28,78,False,311912,4246527,204.815,pop
Heart Of A Woman,2025-04-19,Summer Walker,57,24,Heart Of A Woman,2024-10-25,75,True,116636,970542,171.0,r&b
Back To Me,2025-04-19,The Marias,86,1,Back To Me,2025-04-04,81,False,89,791,214.8,bedroom pop
Intro (End Of The World),2025-04-19,Ariana Grande,38,4,eternal sunshine,2024-03-08,81,True,735713,15186606,92.4,pop
Hometown Home,2025-04-19,LOCASH,91,2,Hometown Home,2024-04-19,54,False,4973,13939,208.309,country
Khe?,2025-04-19,Rauw Alejandro,60,10,Cosa Nuestra,2024-11-15,88,False,2,2,206.066,reggaeton
Past Life,2025-04-12,Ariana Grande,53,1,eternal sunshine deluxe: brighter days ahead,2025-03-28,77,True,259682,3336277,215.834,pop
Warm,2025-04-12,Ariana Grande,54,1,eternal sunshine deluxe: brighter days ahead,2025-03-28,77,False,275314,3338491,201.905,pop
Hampstead,2025-04-12,Ariana Grande,59,1,eternal sunshine deluxe: brighter days ahead,2025-03-28,77,True,257911,3277523,216.264,pop
Vanish Mode,2025-04-12,Lil Durk,63,1,Deep Thoughts,2025-03-28,68,True,23549,121917,123.154,chicago drill
They Want To Be You,2025-04-12,Lil Durk,72,1,Shawty Rxk Too 2,2021-12-11,34,True,109,661,823.272,chicago drill
This Town's Been Too Good To Us,2025-04-12,Dylan Scott,70,2,This Town's Been Too Good To Us,2023-06-02,67,False,35339,244328,191.626,country
1000 Times,2025-04-12,Lil Durk,83,1,Hard Boy Hitters,2023-09-15,0,True,110,646,219.66,chicago drill
Can't Hide It,2025-04-12,Lil Durk,84,1,Detroit 2 (Deluxe),2022-09-19,23,True,137,699,568.129,chicago drill
Shaking When I Pray,2025-04-12,Lil Durk,94,1,Deep Thoughts,2025-03-28,62,True,15013,61758,182.421,chicago drill
Keep On Sippin',2025-04-12,Lil Durk,96,1,Deep Thoughts,2025-03-28,63,True,11721,59423,169.492,chicago drill
I'm Gonna Love You,2025-04-05,Cody Johnson,37,26,Leather Deluxe Edition,2024-11-01,75,False,24326,108451,188.106,texas country
Good Credit,2025-04-05,Playboi Carti,17,2,MUSIC,2025-03-14,80,True,262306,670882,190.373,rage rap
Mona Lisa,2025-04-05,j-hope,65,1,MONA LISA,2025-03-21,87,False,189897,50397359,137.191,k-pop
Backd00r,2025-04-05,Playboi Carti,25,2,MUSIC - SORRY 4 DA WAIT,2025-03-25,64,True,270646,626409,190.053,rage rap
Crush,2025-04-05,Playboi Carti,20,2,MUSIC,2025-03-14,79,True,331653,806341,173.32,rage rap
I Ain't Sayin',2025-04-05,Jordan Davis,58,14,I Ain't Sayin',2024-07-26,78,False,27740,165305,174.06,country
Like Weezy,2025-04-05,Playboi Carti,56,2,MUSIC,2025-03-14,76,True,293951,5543618,115.6,rage rap
Toxic,2025-04-05,Playboi Carti,34,2,MUSIC,2025-03-14,76,True,261565,625154,135.275,rage rap
Philly,2025-04-05,Playboi Carti,28,2,MUSIC,2025-03-14,77,True,292964,628317,185.706,rage rap
Push 2 Start,2025-04-05,Tyla,88,7,TYLA +,2024-10-11,88,False,395696,5448254,156.825,afrobeats
Fine Shit,2025-04-05,Playboi Carti,33,2,MUSIC,2025-03-14,74,True,392407,3088108,106.753,rage rap
Voy A Llevarte Pa PR,2025-04-05,Bad Bunny,17,11,DeBÍ TiRAR MáS FOToS,2025-01-05,92,True,371034,4093304,156.364,reggaeton
Mojo Jojo,2025-03-29,Playboi Carti,27,1,MUSIC,2025-03-14,73,True,417382,3052198,156.293,rage rap
K Pop,2025-03-29,Playboi Carti,38,1,Popular (Music from the HBO Original Series),2023-06-02,85,True,416129,2894212,215.466,rage rap
Pop Out,2025-03-29,Playboi Carti,41,1,MUSIC,2025-03-14,72,True,427827,3272988,161.738,rage rap
Radar,2025-03-29,Playboi Carti,43,1,MUSIC,2025-03-14,71,True,376084,2865733,107.933,rage rap
Trim,2025-03-29,Playboi Carti,46,1,MUSIC,2025-03-14,74,True,212736,480908,193.546,rage rap
HBA,2025-03-29,Playboi Carti,48,1,MUSIC,2025-03-14,76,True,303206,2774405,212.598,rage rap
Charge Dem Hoes A Fee,2025-03-29,Playboi Carti,49,1,MUSIC,2025-03-14,73,True,229921,494777,225.0,rage rap
Wake Up F1lthy,2025-03-29,Playboi Carti,52,1,MUSIC,2025-03-14,74,True,227186,511850,169.333,rage rap
Jumpin,2025-03-29,Playboi Carti,53,1,MUSIC,2025-03-14,72,True,223323,512512,92.735,rage rap
I Seeeeee You Baby Boi,2025-03-29,Playboi Carti,54,1,MUSIC,2025-03-14,71,True,330210,2886850,158.896,rage rap
Crank,2025-03-29,Playboi Carti,55,1,MUSIC,2025-03-14,73,True,334863,3176677,147.692,rage rap
Twin Trim,2025-03-29,Playboi Carti,58,1,MUSIC,2025-03-14,71,True,200769,475096,94.825,rage rap
Olympian,2025-03-29,Playboi Carti,65,1,MUSIC,2025-03-14,75,True,307755,3369982,174.733,rage rap
Munyun,2025-03-29,Playboi Carti,69,1,MUSIC,2025-03-14,67,True,326981,2004205,154.285,rage rap
We Need All Da Vibes,2025-03-29,Playboi Carti,71,1,MUSIC,2025-03-14,74,True,196783,436732,181.626,rage rap
OPM Babi,2025-03-29,Playboi Carti,75,1,MUSIC,2025-03-14,71,True,292765,3211249,173.076,rage rap
Cocaine Nose,2025-03-29,Playboi Carti,80,1,MUSIC,2025-03-14,72,True,299589,2430261,151.16,rage rap
Dis 1 Got It,2025-03-29,Playboi Carti,85,1,MUSIC,2025-03-14,67,True,263468,1903360,123.87,rage rap
Overly,2025-03-29,Playboi Carti,86,1,MUSIC,2025-03-14,69,True,250715,2215778,105.902,rage rap
South Atlanta Baby,2025-03-29,Playboi Carti,88,1,MUSIC,2025-03-14,67,True,252885,1820285,133.259,rage rap
Walk,2025-03-29,Playboi Carti,96,1,MUSIC,2025-03-14,66,True,252537,4916637,94.411,rage rap
Who,2025-03-22,Jimin,12,33,MUSE,2024-07-19,90,False,330759,150554202,170.887,k-pop
Liar,2025-03-22,Jelly Roll,31,24,Beautifully Broken,2024-10-10,82,False,44182,249287,204.933,country hip hop
All The Stars,2025-03-22,Kendrick Lamar,7,26,Black Panther The Album Music From And Inspired By,2018-02-09,94,True,51876,281878,232.186,hip hop
High Road,2025-03-22,Koe Wetzel,22,40,9 Lives,2024-07-19,83,True,6453,55057,179.413,red dirt
Garden Of Eden,2025-03-22,Lady Gaga,52,1,MAYHEM,2025-03-07,84,False,456636,6309912,239.72,art pop
A N X I E T Y,2025-03-22,Sleepy Hallow,45,2,Boy Meets World,2023-09-15,82,True,424,1245,148.928,brooklyn drill
Vanish Into You,2025-03-22,Lady Gaga,61,1,MAYHEM,2025-03-07,83,False,389515,5592564,244.915,art pop
Sweet Dreams,2025-03-22,j-hope,66,1,Bravado,2017-06-09,18,False,406,41497,218.413,k-pop
How Bad Do U Want Me,2025-03-22,Lady Gaga,69,1,MAYHEM,2025-03-07,84,True,372139,4823164,238.886,art pop
Disease,2025-03-22,Lady Gaga,27,9,MAYHEM,2025-03-07,81,False,642646,12940376,229.997,art pop
Handlebars,2025-03-22,JENNIE,80,1,Handlebars (feat. Dua Lipa),2025-03-06,72,True,7196,27864,184.698,k-pop
Perfect Celebrity,2025-03-22,Lady Gaga,81,1,MAYHEM,2025-03-07,78,False,345730,4124520,229.252,art pop
Zombieboy,2025-03-22,Lady Gaga,85,1,MAYHEM,2025-03-07,79,False,344287,4612072,213.337,art pop
LoveDrug,2025-03-22,Lady Gaga,95,1,MAYHEM,2025-03-07,77,False,308853,3274943,193.232,art pop
Tu Boda,2025-03-22,Oscar Maydon,22,20,Tu Boda,2024-09-26,88,True,110723,1223153,225.88,corridos tumbados
ExtraL,2025-03-22,JENNIE,75,2,ExtraL (feat. Doechii),2025-02-21,79,True,18368,67400,167.754,k-pop
cLOUDs,2025-03-15,J. Cole,69,2,cLOUDs,2025-02-21,75,True,132146,873583,242.086,rap
CN Tower,2025-03-15,PARTYNEXTDOOR,18,3,$ome $exy $ongs 4 U,2025-02-14,77,True,200537,1376965,241.889,dark r&b
Something About You,2025-03-15,PARTYNEXTDOOR,26,3,$ome $exy $ongs 4 U,2025-02-14,79,True,173379,1072236,218.682,dark r&b
Born Again,2025-03-15,LISA,68,2,The Best of Suga Free: Why U Still Bullshittin?,2011-09-13,5,True,1873,14721,205.28,k-pop
Twenties,2025-03-15,Giveon,55,3,TWENTIES,2025-02-07,80,False,186,1741,171.955,r&b
Deeper,2025-03-15,PARTYNEXTDOOR,31,3,$ome $exy $ongs 4 U,2025-02-14,76,True,147842,1046160,172.337,dark r&b
7 Dias,2025-03-15,Gabito Ballesteros,84,2,7 DIAS,2025-01-30,86,True,27871,261531,180.688,corridos tumbados
Moth Balls,2025-03-08,PARTYNEXTDOOR,29,2,$ome $exy $ongs 4 U,2025-02-14,73,True,158009,978078,212.629,dark r&b
Raining In Houston,2025-03-08,Drake,43,2,$ome $exy $ongs 4 U,2025-02-14,73,True,112366,742764,244.931,rap
Spider-Man Superman,2025-03-08,PARTYNEXTDOOR,35,2,$ome $exy $ongs 4 U,2025-02-14,75,True,134919,865519,203.893,dark r&b
Hey Now,2025-03-08,Kendrick Lamar,5,14,Chill Rap 2022,2022-03-11,21,False,319215,749948,323.319,hip hop
Small Town Fame,2025-03-08,Drake,40,2,$ome $exy $ongs 4 U,2025-02-14,72,True,132996,904659,148.509,rap
Crying In Chanel,2025-03-01,Drake,37,1,$ome $exy $ongs 4 U,2025-02-14,71,True,135596,732803,199.602,rap
Brian Steel,2025-03-01,Drake,47,1,$ome $exy $ongs 4 U,2025-02-14,71,True,104188,618724,111.406,rap
Lasers,2025-03-01,PARTYNEXTDOOR,60,1,$ome $exy $ongs 4 U,2025-02-14,70,True,101950,538094,198.692,dark r&b
Meet Your Padre,2025-03-01,PARTYNEXTDOOR,63,1,$ome $exy $ongs 4 U,2025-02-14,69,False,121170,561790,271.058,dark r&b
Celibacy,2025-03-01,PARTYNEXTDOOR,66,1,$ome $exy $ongs 4 U,2025-02-14,69,True,91211,473757,235.62,dark r&b
Greedy,2025-03-01,PARTYNEXTDOOR,70,1,$ome $exy $ongs 4 U,2025-02-14,72,False,96585,669174,386.165,dark r&b
When He's Gone,2025-03-01,PARTYNEXTDOOR,73,1,$ome $exy $ongs 4 U,2025-02-14,72,True,81546,520179,209.836,dark r&b
OMW,2025-03-01,PARTYNEXTDOOR,74,1,$ome $exy $ongs 4 U,2025-02-14,70,True,74424,419173,233.03,dark r&b
Glorious,2025-03-01,PARTYNEXTDOOR,83,1,$ome $exy $ongs 4 U,2025-02-14,66,True,78170,355228,205.082,dark r&b
4X4,2025-03-01,Travis Scott,1,4,4X4,2025-01-24,82,True,314354,3045861,190.581,rap
Velda,2025-03-01,Bad Bunny,23,7,DeBÍ TiRAR MáS FOToS,2025-01-05,92,True,9,18,235.336,reggaeton
Humble.,2025-02-22,Kendrick Lamar,1,38,DAMN.,2017-04-14,88,True,1968128,26050950,177.0,hip hop
Like That,2025-02-22,Future,1,32,WE DON'T TRUST YOU,2024-03-22,87,True,1045847,17024192,267.706,rap
Wacced Out Murals,2025-02-22,Kendrick Lamar,4,7,GNX,2024-11-22,77,True,706054,5215006,317.092,hip hop
Euphoria,2025-02-22,Kendrick Lamar,3,17,euphoria,2024-04-30,81,True,936004,12660556,383.639,hip hop
Dodger Blue,2025-02-22,Kendrick Lamar,11,6,No Me Acuerdo,2023-10-27,52,True,288330,682078,140.513,hip hop
El Club,2025-02-22,Bad Bunny,27,8,DeBÍ TiRAR MáS FOToS,2025-01-05,84,True,22,43,222.568,reggaeton
Guess,2025-02-22,Charli xcx,12,13,Brat and it’s completely different but also still brat,2024-10-11,87,False,511974,6040680,143.33,hyperpop
